,película,año,imdb,metascore,votos
2301,Fábrica de dulces del conejo de Pascua,(2011),5.4,41,36100
2302,Straw Dogs,(2011),5.8,45,35326
2303,Diary of a Wimpy Kid: Rodrick Rules,(2011),6.6,51,34601
2304,In the Land of Blood and Honey,(2011),4.7,56,34495
2305,Sleeping Beauty,(2011),5.3,57,33897
2306,Flypaper,(2011),6.3,37,33609
2307,Tyrannosaur,(2011),7.5,65,33075
2308,Coriolanus,(2011),6.1,79,33013
2309,Hysteria,(2011),6.7,53,32698
2310,Batman: El caballero de la noche asciende,(2012),8.4,78,1769534
2311,Django Unchained,(2012),8.5,81,1627708
2312,Los vengadores,(2012),8.0,69,1429890
2313,Los juegos del hambre,(2012),7.2,68,958824
2314,The Hobbit: An Unexpected Journey,(2012),7.8,58,851049
2315,Los juegos del destino,(2012),7.7,81,727428
2316,Skyfall,(2012),7.8,81,715536
2317,El sorprendente hombre araña,(2012),6.9,66,681913
2318,Una aventura extraordinaria,(2012),7.9,79,651283
2319,Ted,(2012),6.9,62,637119
2320,Argo,(2012),7.7,86,628776
2321,Prometeo,(I) (2012),7.0,64,627163
2322,Looper,(2012),7.4,84,591101
2323,Comando Especial,(2012),7.2,69,581834
2324,The Perks of Being a Wallflower,(2012),7.9,67,532906
2325,Ralph el Demoledor,(2012),7.7,72,443421
2326,Valiente,(2012),7.1,69,428748
2327,Hombres de negro III,(2012),6.8,58,377149
2328,Cloud Atlas,(2012),7.4,55,369219
2329,Flight,(I) (2012),7.3,76,366964
2330,Un reino bajo la luna,(2012),7.8,84,360767
2331,Jack Reacher,(2012),7.0,50,353848
2332,La cacería,(2012),8.3,77,347726
2333,Les Misérables,(2012),7.5,63,339293
2334,El Dictador,(2012),6.4,58,322996
2335,Pitch Perfect,(2012),7.1,66,321184
2336,Búsqueda implacable 2,(2012),6.2,45,316113
2337,The Expendables 2,(2012),6.6,51,315546
2338,Objetivo Bin Laden: Zero DarkThirty,(2012),7.4,95,311766
2339,El Legado Bourne,(2012),6.6,61,310535
2340,Blancanieves y la leyenda del cazador,(2012),6.1,57,297308
2341,Dredd,(2012),7.1,60,285424
2342,The Place Beyond the Pines,(2012),7.3,68,281178
2343,John Carter,(2012),6.6,51,280915
2344,Dark Shadows,(2012),6.2,55,275074
2345,Hotel Transylvania,(2012),7.0,47,270002
2346,Siete psicópatas,(2012),7.1,66,268240
2347,Sinister,(I) (2012),6.8,53,267586
2348,Lincoln,(2012),7.3,87,267524
2349,El vengador del futuro,(I) (2012),6.2,43,261643
2350,End of Watch,(2012),7.6,68,259610
2351,Chronicle,(2012),7.0,69,258613
2352,"Crepúsculo, la saga: Amanecer (parte 2)",(2012),5.5,52,256758
2353,Batalla naval,(2012),5.8,41,253859
2354,Los ilegales,(2012),7.2,58,248865
2355,Lo imposible,(2012),7.5,73,233625
2356,Safe House,(2012),6.7,52,230296
2357,Project X,(2012),6.6,48,223888
2358,American Pie: Reencuentro,(2012),6.7,49,220352
2359,La era de hielo 4,(2012),6.5,49,218437
2360,The Vow,(2012),6.8,43,200342
2361,Ira de titanes,(2012),5.7,37,193084
2362,This Means War,(2012),6.3,31,191623
2363,Madagascar 3 Los Fugitivos,(2012),6.8,60,191472
2364,The Woman in Black,(2012),6.4,62,189094
2365,El origen de los guardianes,(2012),7.2,58,186163
2366,Mud,(2012),7.4,76,184869
2367,El maestro,(2012),7.1,86,181421
2368,Abraham Lincoln: Cazador de vampiros,(2012),5.9,42,159357
2369,Underworld: Awakening,(2012),6.3,39,158688
2370,Man on a Ledge,(2012),6.6,40,156540
2371,Mátalos suavemente,(2012),6.2,64,149482
2372,This Is 40,(2012),6.2,59,147335
2373,Resident Evil 5: Venganza,(2012),5.3,39,147127
2374,Spring Breakers,(2012),5.3,63,146269
2375,Magic Mike,(2012),6.1,72,145038
2376,Locos por los Votos,(2012),6.1,50,134979
2377,Salvajes,(I) (2012),6.4,59,132862
2378,The Watch,(I) (2012),5.7,36,131103
2379,Safety Not Guaranteed,(2012),6.9,72,128912
2380,Contraband,(2012),6.4,51,125028
2381,Lorax: En busca de la trúfula perdida,(2012),6.4,46,124184
2382,Seeking a Friend for the End of the World,(2012),6.7,59,117365
2383,Premium Rush,(2012),6.5,66,116792
2384,Safe,(I) (2012),6.5,55,114730
2385,Frankenweenie,(2012),6.9,74,113067
2386,Cuando te encuentre,(2012),6.4,39,111866
2387,Get the Gringo,(2012),6.9,60,110296
2388,Journey 2: The Mysterious Island,(2012),5.7,41,109064
2389,ParaNorman,(2012),7.0,72,106963
2390,That's My Boy,(2012),5.5,31,105477
2391,Anna Karenina,(I) (2012),6.6,63,104028
2392,Ruby Sparks,(2012),7.2,67,104012
2393,Amour,(2012),7.9,95,103618
2394,The Five-Year Engagement,(2012),6.2,62,101227
2395,Gangs of Wasseypur,(2012),8.2,89,100408
2396,Lockout,(2012),6.0,48,100078
2397,Here Comes the Boom,(2012),6.4,40,93978
2398,Stuck in Love,(2012),7.2,49,90406
2399,Frances Ha,(2012),7.4,82,89961
2400,Espejito espejito,(I) (2012),5.6,46,89791
2401,To Rome with Love,(2012),6.3,54,89747
2402,The Raven,(I) (2012),6.4,44,87398
2403,Beasts of the Southern Wild,(2012),7.2,86,84355
2404,La era del rock,(2012),5.9,47,80455
2405,The Words,(2012),7.0,37,80228
2406,House at the End of the Street,(2012),5.5,31,79563
2407,Red Dawn,(2012),5.3,31,79204
2408,Wanderlust,(2012),5.6,53,79043
2409,Hitchcock,(2012),6.8,55,77926
2410,The Iceman,(2012),6.8,60,77465
2411,Disconnect,(I) (2012),7.5,64,77349
2412,What to Expect When You're Expecting,(2012),5.7,41,74753
2413,Upside Down,(I) (2012),6.3,45,73165
2414,The First Time,(I) (2012),6.8,55,72668
2415,Buscando a Sugar Man,(2012),8.2,79,71116
2416,Act of Valor,(2012),6.4,40,70792
2417,De óxido y hueso,(2012),7.4,73,69233
2418,Actividad paranormal 4,(2012),4.6,40,68876
2419,Curvas de la vida,(2012),6.8,58,66701
2420,V/H/S,(2012),5.8,54,65859
2421,Silent Hill: Revelation,(2012),4.9,16,65595
2422,Robot & Frank,(2012),7.0,67,65177
2423,Red Lights,(2012),6.2,36,64144
2424,The Man with the Iron Fists,(2012),5.4,51,63725
2425,The Possession,(I) (2012),5.9,45,62125
2426,Step Up Revolution,(2012),6.4,43,57443
2427,Stand Up Guys,(2012),6.4,41,56971
2428,Arbitrage,(2012),6.6,73,54058
2429,Juegos de la muerte,(II) (2012),6.1,38,52460
2430,El ejecutor,(2012),5.7,48,51433
2431,Kon-Tiki,(2012),7.1,62,50916
2432,¡Piratas! Una loca aventura,(2012),6.7,73,50329
2433,The Imposter,(2012),7.5,77,49480
2434,La reina infiel,(2012),7.5,73,49400
2435,Cosmópolis,(2012),5.1,58,49296
2436,Think Like a Man,(2012),6.5,51,49275
2437,Bachelorette,(2012),5.3,53,48204
2438,The Odd Life of Timothy Green,(2012),6.6,47,47965
2439,Holy Motors,(2012),7.0,84,47953
2440,Ôkami kodomo no Ame to Yuki,(2012),8.1,71,47567
2441,12 horas para vivir,(2012),5.5,43,45943
2442,Gone,(I) (2012),5.9,36,45677
2443,Byzantium,(2012),6.5,66,45033
2444,Piranha 3DD,(2012),3.8,24,44578
2445,Talaash,(2012),7.2,65,44043
2446,A Thousand Words,(I) (2012),5.8,26,43980
2447,Would You Rather,(2012),5.7,20,43891
2448,People Like Us,(2012),7.0,49,43831
2449,The Sessions,(2012),7.2,79,43566
2450,Hope Springs,(2012),6.3,65,43559
2451,One for the Money,(2012),5.3,22,43545
2452,En el camino,(2012),6.0,56,42785
2453,The Tall Man,(2012),5.9,52,42476
2454,El circulo de amor se rompe,(2012),7.7,70,42345
2455,Deadfall,(2012),6.2,52,40350
2456,The Act of Killing,(2012),8.2,91,39755
2457,John Dies at the End,(2012),6.3,53,39650
2458,Liberal Arts,(2012),6.7,55,39502
2459,Maniac,(2012),6.1,47,39345
2460,Promised Land,(2012),6.6,55,39191
2461,The Paperboy,(2012),5.7,45,38842
2462,Dura verdad,(2012),4.9,22,38770
2463,The Guilt Trip,(2012),5.8,50,38199
2464,[Rec]³: Génesis,(2012),5.0,45,37073
2465,Hit and Run,(I) (2012),6.1,50,37025
2466,Con el diablo adentro,(2012),4.2,18,36776
2467,Red Tails,(2012),5.9,46,36540
2468,Compliance,(2012),6.4,68,36334
2469,Alex Cross,(2012),5.2,30,34897
2470,Causas y consecuencias,(2012),6.4,57,34411
2471,Chasing Mavericks,(2012),7.1,45,33952
2472,En la casa,(2012),7.4,72,33550
2473,Celeste & Jesse Forever,(2012),6.6,59,33032
2474,Los tres chiflados,(2012),5.1,56,32582
2475,Erased,(2012),6.0,34,32080
2476,The Lords of Salem,(2012),5.2,57,31441
2477,Playing for Keeps,(2012),5.7,27,30877
2478,Sightseers,(2012),6.5,69,29734
2479,To the Wonder,(2012),5.8,58,29601
2480,Thanks for Sharing,(2012),6.4,54,29138
2481,The Bay,(II) (2012),5.7,65,28807
2482,Diary of a Wimpy Kid: Dog Days,(2012),6.3,54,28362
2483,What Maisie Knew,(2012),7.4,74,28344
2484,American Mary,(2012),6.2,46,27268
2485,S.O.S. Familia en Aputos,(2012),6.0,36,26499
2486,Escape from Planet Earth,(2012),5.8,35,26445
2487,La parte de los ángeles,(2012),7.0,66,26346
2488,El lobo de Wall Street,(2013),8.2,75,1498806
2489,Iron Man 3,(2013),7.1,62,878574
2490,Gravity,(2013),7.7,96,846404
2491,El hombre de acero,(2013),7.1,55,795142
2492,Intriga,(2013),8.1,70,765236
2493,12 años de esclavitud,(2013),8.1,96,722960
2494,Thor 2,(2013),6.8,54,707327
2495,Guerra mundial Z,(2013),7.0,63,696308
2496,En llamas: Los juegos del hambre,(2013),7.5,76,690969
2497,Los ilusionistas. Nada es lo que parece,(I) (2013),7.2,50,686465
2498,The Hobbit: The Desolation of Smaug,(2013),7.8,66,685483
2499,Frozen,(I) (2013),7.4,75,645788
2500,Ella,(2013),8.0,91,645014
2501,El gran Gatsby,(2013),7.2,55,573899
2502,Oblivion,(I) (2013),7.0,54,541783
2503,El conjuro,(2013),7.5,68,532886
2504,Titanes del Pacífico,(2013),6.9,65,518119
2505,El club de los desahuciados,(2013),7.9,77,505826
2506,Rush: pasión y gloria,(I) (2013),8.1,74,497477
2507,Escándalo americano,(2013),7.2,90,492378
2508,Star Trek Into Darkness,(2013),7.7,72,491859
2509,Wolverine: Inmortal,(2013),6.7,61,482049
2510,Captain Phillips,(2013),7.8,82,479404
2511,¿Quién *&%! son los Miller?,(2013),7.0,44,472225
2512,Elysium,(I) (2013),6.6,61,461295
2513,Este es el fin,(2013),6.6,67,426223
2514,Mi villano favorito 2,(2013),7.3,62,414627
2515,Furious 6,(2013),7.0,61,408462
2516,Monsters University,(2013),7.2,65,376681
2517,Snowpiercer,(2013),7.1,84,376057
2518,Cuestión de tiempo,(I) (2013),7.8,55,370169
2519,La Vida Secreta de Walter Mitty,(2013),7.3,54,329556
2520,Qué pasó Ayer Parte 3,(2013),5.8,30,326825
2521,Lone Survivor,(2013),7.5,60,298594
2522,The World's End,(2013),6.9,81,292045
2523,Objetivo: La Casa Blanca,(2013),6.5,41,286090
2524,Kick-Ass 2,(2013),6.5,41,282401
2525,Escape imposible,(2013),6.7,49,252208
2526,El juego de Ender,(2013),6.6,51,248898
2527,Don Jon,(2013),6.5,66,244167
2528,El llanero solitario,(2013),6.4,37,240742
2529,Warm Bodies,(2013),6.8,60,238278
2530,La noche de la expiación,(I) (2013),5.7,41,233153
2531,El ataque,(2013),6.3,52,231223
2532,Los Croods,(2013),7.2,55,225277
2533,"Sangre, sudor y gloria",(2013),6.4,45,224755
2534,2 Guns,(2013),6.7,55,220494
2535,Gangster Squad,(2013),6.7,40,220019
2536,Hansel & Gretel: Witch Hunters,(2013),6.1,23,212714
2537,"Oz, el poderoso",(2013),6.3,44,211994
2538,Duro de Matar: Un Buen día para morir,(2013),5.2,28,211819
2539,The Internship,(2013),6.3,42,211016
2540,Blue Jasmine,(2013),7.3,78,209158
2541,After Earth,(2013),4.8,33,206053
2542,El hombre duplicado,(2013),6.9,61,205596
2543,Side Effects,(I) (2013),7.1,75,194538
2544,Posesión infernal,(2013),6.5,57,190728
2545,Anchorman 2: The Legend Continues,(2013),6.3,61,188475
2546,Mamá,(I) (2013),6.2,57,187489
2547,G.I. Joe El Contraataque,(2013),5.7,41,185297
2548,La noche del demonio capítulo 2,(2013),6.5,40,182500
2549,Chicas armadas y peligrosas,(I) (2013),6.6,60,178124
2550,RED 2,(2013),6.6,47,177033
2551,Riddick,(2013),6.4,49,174223
2552,47 Ronin,(2013),6.2,28,167129
2553,El sueño de Walt,(2013),7.5,65,167049
2554,Antes de la medianoche,(2013),7.9,94,166754
2555,Grown Ups 2,(2013),5.3,19,163342
2556,¿Puede una canción de amor salvar tu vida?,(II) (2013),7.4,62,162574
2557,Balada de un hombre común,(2013),7.4,93,159438
2558,La vida de Adèle - Capítulos 1 & 2,(2013),7.7,90,158768
2559,The Spectacular Now,(2013),7.1,82,158670
2560,Locke,(2013),7.1,83,155820
2561,The Way Way Back,(2013),7.4,68,154449
2562,Under the Skin,(I) (2013),6.3,80,151237
2563,Carrie,(2013),5.8,53,144975
2564,Jack the Giant Slayer,(2013),6.3,51,143905
2565,El último desafío,(2013),6.3,54,143404
2566,R.I.P.D.,(2013),5.6,25,140684
2567,Ladrona de libros,(2013),7.5,53,139912
2568,Coherence,(2013),7.2,65,139053
2569,Ladrona de identidades,(2013),5.7,35,138201
2570,Cazadores de sombras: Ciudad de huesos,(2013),5.8,33,137076
2571,Oculus,(2013),6.5,61,135101
2572,Último viaje a Las Vegas,(2013),6.6,48,134944
2573,Ninfomanía 1,(2013),6.9,64,128601
2574,Llamada mortal: Línea de emergencia,(II) (2013),6.7,51,127325
2575,Parker,(2013),6.2,42,126840
2576,Homefront,(I) (2013),6.5,40,126041
2577,La mejor oferta,(2013),7.8,49,124656
2578,Percy Jackson y el mar de los monstruos,(2013),5.7,39,122469
2579,Out of the Furnace,(2013),6.7,63,121618
2580,Nebraska,(2013),7.7,86,120898
2581,Una Familia Peligrosa,(I) (2013),6.3,42,120739
2582,El mayordomo,(2013),7.2,65,118044
2583,The Host,(2013),5.8,35,117258
2584,Trance,(I) (2013),6.9,61,116394
2585,Only God Forgives,(2013),5.7,37,115921
2586,Safe Haven,(I) (2013),6.6,34,114178
2587,Filth,(I) (2013),7.0,56,113188
2588,Stoker,(2013),6.7,58,112264
2589,Lluvia de hamburguesas 2: La venganzas de las sobras,(2013),6.3,59,110505
2590,Movie 43,(2013),4.3,18,109643
2591,"Epic, el reino secreto",(2013),6.6,52,108194
2592,Turbo,(2013),6.4,58,105694
2593,Only Lovers Left Alive,(2013),7.2,79,104943
2594,El abogado del crimen,(2013),5.4,48,103961
2595,Philomena,(2013),7.6,77,102474
2596,Jobs,(2013),6.0,44,101043
2597,42,(2013),7.5,62,99768
2598,El abuelo sinvergüenza,(2013),6.5,54,97179
2599,La grande bellezza,(2013),7.7,86,95008
2600,Agosto,(2013),7.2,58,93560
2601,Kaze tachinu,(2013),7.7,83,92331
2602,El infiltrado,(I) (2013),6.4,51,90885
2603,Short Term 12,(2013),7.9,82,90162
2604,The Bling Ring,(2013),5.6,66,90157
2605,Beautiful Creatures,(2013),6.1,52,89899
2606,Horns,(2013),6.4,46,86329
2607,Fruitvale Station,(2013),7.5,85,84384
2608,The Kings of Summer,(2013),7.1,61,83384
2609,All Is Lost,(2013),6.9,87,82475
2610,Broken City,(2013),6.1,49,82442
2611,Delivery Man,(2013),6.3,44,81629
2612,Machete Kills,(2013),5.6,41,81082
2613,The F Word,(I) (2013),6.8,59,80305
2614,Días de venganza,(2013),5.8,49,78965
2615,Los elegidos,(2013),6.3,50,78209
2616,Blue Ruin,(2013),7.1,78,76886
2617,21 & Over,(2013),5.8,34,76375
2618,The Incredible Burt Wonderstone,(2013),5.9,44,75142
2619,Scary Movie 5,(2013),3.5,11,75130
2620,Hummingbird,(I) (2013),6.2,43,74988
2621,Europa Report,(2013),6.4,68,73658
2622,Blackfish,(2013),8.1,83,70554
2623,Dead Man Down,(2013),6.4,39,69368
2624,The Frozen Ground,(2013),6.4,37,65593
2625,Runner Runner,(2013),5.6,36,65042
2626,Enough Said,(2013),7.0,78,64971
2627,Ajuste de cuentas,(2013),6.4,35,62050
2628,Drinking Buddies,(2013),6.1,71,60107
2629,Ida,(2013),7.4,91,59494
2630,Chennai Express,(2013),6.1,45,59434
2631,Los sabores del amor,(2013),7.8,76,59037
2632,Odd Thomas,(2013),6.8,45,55887
2633,Bad Words,(2013),6.6,57,53989
2634,The Double,(2013),6.5,68,52056
2635,The East,(2013),6.8,68,51614
2636,The Big Wedding,(2013),5.6,28,51144
2637,Kaguya-hime no monogatari,(2013),8.0,89,50739
2638,Joe,(I) (2013),6.8,74,50187
2639,Labor Day,(2013),6.9,52,50115
2640,El pasado,(2013),7.7,85,50090
2641,The Zero Theorem,(2013),6.0,50,48863
2642,A Haunted House,(2013),5.0,20,48633
2643,Dhoom:3,(2013),5.4,61,48008
2644,Mandarinas,(2013),8.1,73,47858
2645,Starred Up,(2013),7.3,81,47829
2646,Aviones,(2013),5.7,39,47383
2647,The Green Inferno,(2013),5.3,38,47280
2648,The Colony,(I) (2013),5.3,28,46463
2649,Los Pitufos 2,(2013),5.3,34,44582
2650,V/H/S/2,(2013),6.0,49,42330
2651,El quinto poder,(2013),6.2,49,42184
2652,Lovelace,(2013),6.2,51,41999
2653,Curse of Chucky,(2013),5.6,58,41928
2654,Hundraåringen som klev ut genom fönstret och försvann,(2013),7.0,58,41868
2655,Un pasado imborrable,(2013),7.1,59,41789
2656,The To Do List,(2013),5.8,61,41018
2657,Man of Tai Chi,(2013),6.0,52,40411
2658,Kill Your Darlings,(2013),6.4,65,40143
2659,Paranoia,(I) (2013),5.6,32,38806
2660,I Give It a Year,(2013),5.7,50,38623
2661,Killing Season,(2013),5.4,25,38336
2662,The Last Days on Mars,(2013),5.5,46,38282
2663,Kai po che!,(2013),7.8,40,38041
2664,Jeune et jolie,(2013),6.7,63,37083
2665,The Grand Master,(2013),6.5,73,35855
2666,Two Mothers,(2013),6.2,37,35843
2667,Admission,(2013),5.7,48,35806
2668,Upstream Color,(2013),6.5,81,34453
2669,Welcome to the Punch,(2013),6.1,49,34166
2670,La inmigrante,(2013),6.6,77,33048
2671,Alan Partridge: Alpha Papa,(2013),6.9,66,32582
2672,In a World...,(2013),6.7,79,32575
2673,Interestelar,(2014),8.7,74,1974180
2674,Guardianes de la Galaxia,(2014),8.0,76,1239710
2675,Perdida,(2014),8.1,79,1024794
2676,Whiplash. Música y obsesión,(2014),8.5,89,926475
2677,Capitán América y el Soldado del Invierno,(2014),7.8,70,877082
2678,El gran hotel Budapest,(2014),8.1,88,854188
2679,El código enigma,(2014),8.0,71,799913
2680,X-Men: días del futuro pasado,(2014),7.9,75,730928
2681,Al filo del mañana,(2014),7.9,71,710213
2682,John Wick,(2014),7.4,68,710107
2683,Kingsman: el servicio secreto,(2014),7.7,60,694908
2684,Birdman,(2014),7.7,87,650894
2685,Primicia mortal,(2014),7.8,76,580068
2686,Ex Machina,(2014),7.7,78,567661
2687,El Hobbit: La Batalla de los Cinco Ejércitos,(2014),7.4,59,553757
2688,Corazones de hierro,(2014),7.6,64,521724
2689,El Sorprendente Hombre Araña 2: La amenaza de Electro,(2014),6.6,53,520867
2690,Lucy,(I) (2014),6.4,61,518024
2691,Francotirador,(2014),7.3,72,511735
2692,Maze Runner. Correr o morir,(2014),6.8,57,490528
2693,Grandes héroes,(2014),7.8,74,484033
2694,Los juegos del hambre: Sinsajo (parte 1),(2014),6.6,64,477901
2695,Divergente,(2014),6.6,48,476021
2696,La teoría del todo,(2014),7.7,71,469022
2697,El planeta de los simios: Confrontación,(2014),7.6,79,455746
2698,Godzilla,(2014),6.4,62,426773
2699,Comando especial 2,(2014),7.0,71,394101
2700,Bajo la misma estrella,(2014),7.7,69,391340
2701,Maléfica,(2014),6.9,56,390428
2702,El justiciero,(2014),7.2,57,390060
2703,La gran aventura Lego,(2014),7.7,83,376485
2704,Boyhood,(I) (2014),7.9,100,362131
2705,Cómo entrenar a tu dragón 2,(2014),7.8,77,352292
2706,The Interview,(II) (2014),6.5,52,344673
2707,Transformers: Age of Extinction,(2014),5.6,32,325972
2708,Buenos vecinos,(I) (2014),6.3,68,322115
2709,El nacimiento de un imperio,(2014),6.2,48,310050
2710,Predestination,(I) (2014),7.4,69,293993
2711,Non-Stop,(2014),6.9,56,272155
2712,Noé,(2014),5.8,68,262190
2713,It Follows,(2014),6.8,83,256658
2714,El Babadook,(2014),6.8,86,237279
2715,Transcendence: Identidad virtual,(I) (2014),6.2,42,235255
2716,Robocop,(2014),6.1,52,235223
2717,Chef,(2014),7.3,68,224966
2718,Tortugas Ninja,(2014),5.8,31,216520
2719,Relatos salvajes,(2014),8.1,77,208472
2720,"Drácula, la historia jamás contada",(2014),6.2,40,202852
2721,Taken 3,(2014),6.0,26,199682
2722,El juez,(2014),7.4,48,197771
2723,A Million Ways to Die in the West,(2014),6.1,44,194737
2724,What We Do in the Shadows,(2014),7.6,76,192644
2725,Los indestructibles 3,(2014),6.1,35,189825
2726,Horrible Bosses 2,(2014),6.3,40,180236
2727,Inquebrantable,(I) (2014),7.2,59,177025
2728,Need for Speed,(2014),6.4,39,175596
2729,Éxodo: Dioses y reyes,(2014),6.0,52,174051
2730,Annabelle,(I) (2014),5.4,37,168201
2731,Sin City: A Dame to Kill For,(2014),6.5,46,167101
2732,Hércules,(I) (2014),6.0,47,161410
2733,12 horas para vivir,(2014),6.4,50,158286
2734,The Drop,(2014),7.0,69,158147
2735,Los imprevistos del amor,(2014),7.1,44,149901
2736,The Other Woman,(2014),6.0,39,146265
2737,Foxcatcher,(2014),7.0,81,146153
2738,En el bosque,(2014),5.9,69,145306
2739,Dumb and Dumber To,(2014),5.6,36,142172
2740,Siempre Alice,(2014),7.5,72,140576
2741,Luna de miel en familia,(2014),6.5,31,139336
2742,Let's Be Cops,(2014),6.4,30,138047
2743,Operación monumento,(2014),6.1,52,136159
2744,Jack Ryan: Shadow Recruit,(2014),6.2,57,136060
2745,Alma salvaje,(I) (2014),7.1,74,134331
2746,Una noche en el museo: El secreto del faraón,(2014),6.2,47,130652
2747,I Origins,(2014),7.3,57,130264
2748,Serbuan maut 2: Berandal,(2014),7.9,71,128416
2749,If I Stay,(2014),6.7,46,126606
2750,Paddington,(2014),7.3,77,125905
2751,Caminando entre las tumbas,(2014),6.5,57,125165
2752,El dador de recuerdos,(2014),6.4,47,122927
2753,Novatos en apuros,(2014),6.1,41,119953
2754,Sex Tape,(2014),5.1,36,115776
2755,Pompeya,(I) (2014),5.5,41,114312
2756,Vicio propio,(2014),6.6,81,108384
2757,Sn. Vincent,(2014),7.2,64,106601
2758,That Awkward Moment,(2014),6.1,36,105849
2759,Así en la tierra como en el infierno,(2014),6.2,39,103962
2760,The Guest,(I) (2014),6.7,76,103951
2761,Los pingüinos de Madagascar,(2014),6.6,53,97774
2762,Big Eyes: Retratos de una mentira,(I) (2014),7.0,62,96838
2763,Río 2,(2014),6.3,49,96790
2764,3 Days to Kill,(2014),6.2,40,96106
2765,Selma,(2014),7.5,79,93869
2766,Hasta que la muerte los juntó,(2014),6.6,44,86220
2767,The Hundred-Foot Journey,(2014),7.3,55,85986
2768,"I, Frankenstein",(2014),5.1,30,82880
2769,No confíes en nadie,(2014),6.3,41,81827
2770,Libranos del mal,(I) (2014),6.2,40,81748
2771,Frank,(II) (2014),6.9,75,81134
2772,El séptimo hijo,(I) (2014),5.5,30,79388
2773,Eliminar amigo,(2014),5.6,59,79221
2774,El hombre más buscado,(2014),6.7,73,78715
2775,The Water Diviner,(2014),7.0,50,77034
2776,Lo mejor de mi,(2014),6.6,29,75733
2777,A Most Violent Year,(2014),7.0,79,75625
2778,La aventuras de Peabody y Sherman,(2014),6.8,59,75256
2779,El libro de la vida,(2014),7.2,67,75077
2780,Two Night Stand,(2014),6.3,45,72617
2781,The Gambler,(III) (2014),6.0,55,72023
2782,Into the Storm,(2014),5.8,44,70487
2783,Magia a la luz de la luna,(2014),6.5,54,69656
2784,The November Man,(2014),6.2,38,69522
2785,The Signal,(2014),6.0,54,67962
2786,Sabotage,(2014),5.7,41,65232
2787,Decisión final,(I) (2014),6.8,54,64429
2788,Turist,(2014),7.2,87,63394
2789,Calvary,(2014),7.4,77,62688
2790,Creep,(I) (2014),6.3,74,62647
2791,Before We Go,(I) (2014),6.8,31,61580
2792,Song of the Sea,(2014),8.0,85,61363
2793,The Voices,(2014),6.3,58,60438
2794,Boxtrolls,(2014),6.8,61,60217
2795,Pride: Orgullo y esperanza,(I) (2014),7.8,79,60189
2796,Mommy,(I) (2014),8.0,74,59923
2797,Tusk,(I) (2014),5.3,55,59866
2798,Eliza Graves,(2014),6.8,52,58919
2799,Zapatero a tus zapatos,(2014),5.8,23,58760
2800,'71,(2014),7.2,83,58671
2801,The Loft,(2014),6.3,24,58593
2802,Autómata,(I) (2014),6.0,37,58408
2803,"Ich seh, Ich seh",(2014),6.7,81,57801
2804,Citizenfour,(2014),8.0,88,57065
2805,Walk of Shame,(2014),6.0,25,56151
2806,Academia de vampiros,(2014),5.4,31,56137
2807,Un cuento de invierno,(2014),6.1,31,55889
2808,Leviafan,(2014),7.6,92,55600
2809,The Legend of Hercules,(2014),4.2,22,55454
2810,Ouija,(II) (2014),4.5,38,55336
2811,Veronica Mars,(2014),6.7,62,53984
2812,Sueño de invierno,(2014),8.1,88,53771
2813,Tammy,(2014),4.9,39,53536
2814,Mientras seamos jóvenes,(2014),6.3,77,52236
2815,The Rover,(2014),6.4,64,50152
2816,"Dos días, una noche",(2014),7.3,89,49756
2817,Hector and the Search for Happiness,(2014),6.9,29,49735
2818,Kill the Messenger,(2014),6.9,60,48077
2819,La jugada maestra,(2014),7.0,65,47948
2820,Time Lapse,(2014),6.5,50,47812
2821,Million Dollar Arm,(2014),7.0,56,47181
2822,Endless Love,(2014),6.2,30,46831
2823,"Alexander and the Terrible, Horrible, No Good, Very Bad Day",(2014),6.2,54,45756
2824,The Inbetweeners 2,(2014),6.4,55,45601
2825,Laggies,(2014),6.4,63,45202
2826,Omoide no Marnie,(2014),7.7,72,44715
2827,Paranormal Activity: The Marked Ones,(2014),5.0,42,44512
2828,Dios no está muerto,(2014),4.6,16,44174
2829,The Skeleton Twins,(2014),6.8,74,43847
2830,Fortaleza prohibida,(2014),5.6,40,43517
2831,Camp X-Ray,(2014),6.9,54,42401
2832,Maps to the Stars,(2014),6.2,67,42203
2833,The One I Love,(2014),7.0,66,41966
2834,The Salvation,(2014),6.7,64,41564
2835,El apocalipsis,(I) (2014),3.1,12,41536
2836,Love & Mercy,(2014),7.4,80,41389
2837,Black Sea,(2014),6.4,62,39968
2838,Annie,(2014),5.3,33,39586
2839,Wish I Was Here,(2014),6.6,43,38750
2840,Cake: Una razón para vivir,(II) (2014),6.4,49,38358
2841,13 Sins,(2014),6.3,44,38093
2842,A Girl Walks Home Alone at Night,(2014),6.9,81,37401
2843,Cold in July,(2014),6.7,73,36899
2844,Housebound,(2014),6.7,76,36708
2845,Muppets 2: Los Más Buscados,(2014),6.4,61,36180
2846,Jersey Boys: Persiguiendo la música,(2014),6.8,54,35992
2847,99 Homes,(2014),7.1,76,35736
2848,Step Up All In,(2014),5.9,45,35517
2849,Cautiva,(I) (2014),5.9,36,35003
2850,Big Game,(2014),5.4,53,34639
2851,Deuda de honor,(2014),6.6,68,34614
2852,A Long Way Down,(2014),6.3,34,34216
2853,"Men, Women & Children",(2014),6.6,38,33197
2854,The Two Faces of January,(2014),6.2,66,32973
